[1510409682, 0.5623413251903491, -46, 111, 230, '0x0', 30]
[1510409684, 1.0, -51, 111, 232, '0x0', 30]
[1510409688, 1.0, -51, 111, 236, '0x0', 30]
[1510409690, 1.0, -51, 111, 238, '0x0', 30]
[1510409696, 1.4125375446227544, -54, 111, 245, '0x0', 30]
[1510409702, 1.2589254117941673, -53, 111, 251, '0x0', 30]
[1510409704, 1.2589254117941673, -53, 111, 253, '0x0', 30]
[1510409706, 0.7943282347242815, -49, 111, 255, '0x0', 30]
[1510409708, 1.2589254117941673, -53, 111, 1, '0x0', 30]
[1510409710, 1.0, -51, 111, 3, '0x0', 30]
[1510409712, 1.4125375446227544, -54, 111, 5, '0x0', 30]
[1510409714, 1.1220184543019633, -52, 111, 7, '0x0', 30]
[1510409718, 1.1220184543019633, -52, 111, 11, '0x0', 30]
[1510409720, 1.7782794100389228, -56, 111, 13, '0x0', 30]
[1510409726, 0.5011872336272722, -45, 111, 19, '0x0', 30]
[1510409728, 0.8912509381337456, -50, 111, 21, '0x0', 30]
[1510409730, 0.8912509381337456, -50, 111, 23, '0x0', 30]
[1510409732, 0.7943282347242815, -49, 111, 25, '0x0', 30]
[1510409734, 1.0, -51, 111, 27, '0x0', 30]
[1510409738, 1.4125375446227544, -54, 111, 31, '0x0', 30]
[1510409740, 0.7079457843841379, -48, 111, 33, '0x0', 30]
[1510409742, 1.9952623149688795, -57, 111, 35, '0x0', 30]
[1510409746, 1.4125375446227544, -54, 111, 39, '0x0', 30]
[1510409748, 1.2589254117941673, -53, 111, 41, '0x0', 30]
[1510409752, 0.7079457843841379, -48, 111, 45, '0x0', 30]
[1510409754, 0.7943282347242815, -49, 111, 47, '0x0', 30]
[1510409756, 1.5848931924611136, -55, 111, 49, '0x0', 30]
[1510409758, 0.7943282347242815, -49, 111, 51, '0x0', 30]
[1510409788, 0.7943282347242815, -49, 111, 81, '0x0', 30]
[1510409790, 0.7079457843841379, -48, 111, 83, '0x0', 30]
[1510409792, 3.1622776601683795, -61, 111, 85, '0x0', 30]
[1510409794, 0.7943282347242815, -49, 111, 87, '0x0', 30]
[1510409802, 1.1220184543019633, -52, 111, 95, '0x0', 30]
[1510409806, 1.5848931924611136, -55, 111, 99, '0x0', 30]
[1510409808, 1.0, -51, 111, 101, '0x0', 30]
[1510409810, 0.7943282347242815, -49, 111, 103, '0x0', 30]
[1510409812, 1.7782794100389228, -56, 111, 105, '0x0', 30]
[1510409814, 0.8912509381337456, -50, 111, 107, '0x0', 30]
[1510409816, 1.2589254117941673, -53, 111, 109, '0x0', 30]
[1510409818, 1.5848931924611136, -55, 111, 111, '0x0', 30]
[1510409822, 0.8912509381337456, -50, 111, 115, '0x0', 30]
[1510409824, 1.2589254117941673, -53, 111, 117, '0x0', 30]
[1510409826, 1.1220184543019633, -52, 111, 119, '0x0', 30]
[1510409828, 1.5848931924611136, -55, 111, 121, '0x0', 30]
[1510409830, 1.2589254117941673, -53, 111, 123, '0x0', 30]
[1510409832, 1.7782794100389228, -56, 111, 125, '0x0', 30]
[1510409836, 1.2589254117941673, -53, 111, 129, '0x0', 30]
[1510409838, 1.4125375446227544, -54, 111, 131, '0x0', 30]
[1510409840, 0.8912509381337456, -50, 111, 133, '0x0', 30]
[1510409842, 1.1220184543019633, -52, 111, 135, '0x0', 30]
[1510409846, 0.7943282347242815, -49, 111, 139, '0x0', 30]
[1510409854, 1.2589254117941673, -53, 111, 147, '0x0', 30]
[1510409856, 1.5848931924611136, -55, 111, 149, '0x0', 30]
[1510409858, 1.1220184543019633, -52, 111, 151, '0x0', 30]
[1510409860, 1.0, -51, 111, 153, '0x0', 30]
[1510409862, 1.0, -51, 111, 155, '0x0', 30]
[1510409864, 1.5848931924611136, -55, 111, 157, '0x0', 30]
[1510409870, 1.0, -51, 111, 163, '0x0', 30]
